step,timestamp,action,price,position,realized_pnl
60,2025-06-07T05:50:24.065550,2,104338.55,-1,0.0
61,2025-06-07T05:50:24.067183,2,104426.04,-1,0.0
62,2025-06-07T05:50:24.068352,2,104419.71,-1,0.0
63,2025-06-07T05:50:24.069357,2,104409.0,-1,0.0
64,2025-06-07T05:50:24.070321,2,104409.0,-1,0.0
65,2025-06-07T05:50:24.071304,2,104382.9,-1,0.0
66,2025-06-07T05:50:24.072167,2,104380.98,-1,0.0
67,2025-06-07T05:50:24.073071,2,104380.99,-1,0.0
68,2025-06-07T05:50:24.073935,2,104471.98,-1,0.0
69,2025-06-07T05:50:24.074742,2,104423.85,-1,0.0
70,2025-06-07T05:50:24.075507,2,104416.33,-1,0.0
71,2025-06-07T05:50:24.076349,2,104416.34,-1,0.0
72,2025-06-07T05:50:24.077194,2,104469.53,-1,0.0
73,2025-06-07T05:50:24.077973,2,104469.53,-1,0.0
74,2025-06-07T05:50:24.078872,2,104483.5,-1,0.0
75,2025-06-07T05:50:24.079875,2,104470.0,-1,0.0
76,2025-06-07T05:50:24.080748,2,104482.35,-1,0.0
77,2025-06-07T05:50:24.081652,2,104448.57,-1,0.0
78,2025-06-07T05:50:24.082480,2,104448.57,-1,0.0
79,2025-06-07T05:50:24.083296,2,104434.67,-1,0.0
80,2025-06-07T05:50:24.084142,2,104434.67,-1,0.0
81,2025-06-07T05:50:24.084926,2,104391.34,-1,0.0
82,2025-06-07T05:50:24.085737,2,104391.34,-1,0.0
83,2025-06-07T05:50:24.086516,2,104418.53,-1,0.0
84,2025-06-07T05:50:24.087268,2,104395.81,-1,0.0
85,2025-06-07T05:50:24.088181,2,104395.81,-1,0.0
86,2025-06-07T05:50:24.088980,2,104394.42,-1,0.0
87,2025-06-07T05:50:24.089792,2,104381.85,-1,0.0
88,2025-06-07T05:50:24.090593,2,104386.29,-1,0.0
89,2025-06-07T05:50:24.091391,2,104374.97,-1,0.0
90,2025-06-07T05:50:24.092210,2,104348.84,-1,0.0
91,2025-06-07T05:50:24.093037,2,104337.9,-1,0.0
92,2025-06-07T05:50:24.093810,2,104325.46,-1,0.0
93,2025-06-07T05:50:24.094617,2,104295.04,-1,0.0
94,2025-06-07T05:50:24.095428,2,104295.03,-1,0.0
95,2025-06-07T05:50:24.096687,2,104279.06,-1,0.0
96,2025-06-07T05:50:24.097758,2,104266.2,-1,0.0
97,2025-06-07T05:50:24.098814,2,104266.2,-1,0.0
98,2025-06-07T05:50:24.099681,2,104266.21,-1,0.0
99,2025-06-07T05:50:24.100472,2,104293.97,-1,0.0
100,2025-06-07T05:50:24.101339,2,104278.44,-1,0.0
101,2025-06-07T05:50:24.102154,2,104287.96,-1,0.0
102,2025-06-07T05:50:24.102975,2,104270.92,-1,0.0
103,2025-06-07T05:50:24.103743,2,104268.15,-1,0.0
104,2025-06-07T05:50:24.104507,2,104275.57,-1,0.0
105,2025-06-07T05:50:24.105338,2,104271.77,-1,0.0
106,2025-06-07T05:50:24.106255,2,104270.26,-1,0.0
107,2025-06-07T05:50:24.107053,2,104248.59,-1,0.0
108,2025-06-07T05:50:24.107864,2,104272.0,-1,0.0
109,2025-06-07T05:50:24.108673,2,104280.17,-1,0.0
110,2025-06-07T05:50:24.109485,2,104346.16,-1,0.0
111,2025-06-07T05:50:24.110311,2,104348.84,-1,0.0
112,2025-06-07T05:50:24.111103,2,104362.58,-1,0.0
113,2025-06-07T05:50:24.111919,2,104333.56,-1,0.0
114,2025-06-07T05:50:24.112703,2,104315.88,-1,0.0
115,2025-06-07T05:50:24.113469,2,104307.92,-1,0.0
116,2025-06-07T05:50:24.114604,2,104333.56,-1,0.0
117,2025-06-07T05:50:24.115886,2,104357.27,-1,0.0
118,2025-06-07T05:50:24.116895,2,104357.27,-1,0.0
119,2025-06-07T05:50:24.118240,2,104357.28,-1,0.0
120,2025-06-07T05:50:24.119213,2,104335.91,-1,0.0
121,2025-06-07T05:50:24.120084,2,104309.84,-1,0.0
122,2025-06-07T05:50:24.120972,2,104297.27,-1,0.0
123,2025-06-07T05:50:24.121820,2,104315.22,-1,0.0
124,2025-06-07T05:50:24.122626,2,104315.21,-1,0.0
125,2025-06-07T05:50:24.123438,2,104290.9,-1,0.0
126,2025-06-07T05:50:24.124290,2,104293.82,-1,0.0
127,2025-06-07T05:50:24.125119,2,104293.83,-1,0.0
128,2025-06-07T05:50:24.125932,2,104299.98,-1,0.0
129,2025-06-07T05:50:24.126783,2,104304.52,-1,0.0
130,2025-06-07T05:50:24.127574,2,104303.02,-1,0.0
131,2025-06-07T05:50:24.128357,2,104303.02,-1,0.0
132,2025-06-07T05:50:24.129148,2,104320.91,-1,0.0
133,2025-06-07T05:50:24.130012,2,104320.91,-1,0.0
134,2025-06-07T05:50:24.130786,2,104310.3,-1,0.0
135,2025-06-07T05:50:24.131629,2,104330.49,-1,0.0
136,2025-06-07T05:50:24.132459,2,104363.17,-1,0.0
137,2025-06-07T05:50:24.133472,2,104325.73,-1,0.0
138,2025-06-07T05:50:24.134422,2,104348.68,-1,0.0
139,2025-06-07T05:50:24.135346,2,104431.26,-1,0.0
140,2025-06-07T05:50:24.136181,2,104450.52,-1,0.0
141,2025-06-07T05:50:24.136992,2,104458.53,-1,0.0
142,2025-06-07T05:50:24.137837,2,104459.31,-1,0.0
143,2025-06-07T05:50:24.138852,2,104477.35,-1,0.0
144,2025-06-07T05:50:24.139749,2,104470.38,-1,0.0
145,2025-06-07T05:50:24.140611,2,104477.32,-1,0.0
146,2025-06-07T05:50:24.141467,2,104485.9,-1,0.0
147,2025-06-07T05:50:24.142291,2,104476.81,-1,0.0
148,2025-06-07T05:50:24.143111,2,104476.81,-1,0.0
149,2025-06-07T05:50:24.143893,2,104468.8,-1,0.0
150,2025-06-07T05:50:24.144845,2,104462.63,-1,0.0
151,2025-06-07T05:50:24.145685,2,104439.69,-1,0.0
152,2025-06-07T05:50:24.146531,2,104434.52,-1,0.0
153,2025-06-07T05:50:24.147387,2,104401.05,-1,0.0
154,2025-06-07T05:50:24.148278,2,104373.23,-1,0.0
155,2025-06-07T05:50:24.149142,2,104333.35,-1,0.0
156,2025-06-07T05:50:24.150056,2,104279.07,-1,0.0
157,2025-06-07T05:50:24.150891,2,104239.43,-1,0.0
158,2025-06-07T05:50:24.151740,2,104205.17,-1,0.0
159,2025-06-07T05:50:24.152632,2,104222.4,-1,0.0
160,2025-06-07T05:50:24.153518,2,104247.98,-1,0.0
161,2025-06-07T05:50:24.154390,2,104269.19,-1,0.0
162,2025-06-07T05:50:24.155233,2,104255.22,-1,0.0
163,2025-06-07T05:50:24.156109,2,104269.19,-1,0.0
164,2025-06-07T05:50:24.156891,2,104241.86,-1,0.0
165,2025-06-07T05:50:24.157667,2,104261.84,-1,0.0
166,2025-06-07T05:50:24.158490,2,104254.71,-1,0.0
167,2025-06-07T05:50:24.159324,2,104254.71,-1,0.0
168,2025-06-07T05:50:24.160122,2,104269.2,-1,0.0
169,2025-06-07T05:50:24.160924,2,104295.98,-1,0.0
170,2025-06-07T05:50:24.161718,2,104295.99,-1,0.0
171,2025-06-07T05:50:24.162596,2,104277.14,-1,0.0
172,2025-06-07T05:50:24.163529,2,104280.85,-1,0.0
173,2025-06-07T05:50:24.164359,2,104267.73,-1,0.0
174,2025-06-07T05:50:24.165252,2,104295.25,-1,0.0
175,2025-06-07T05:50:24.166073,2,104286.52,-1,0.0
176,2025-06-07T05:50:24.166909,2,104306.61,-1,0.0
177,2025-06-07T05:50:24.167812,2,104359.99,-1,0.0
178,2025-06-07T05:50:24.168654,2,104360.0,-1,0.0
179,2025-06-07T05:50:24.169532,2,104348.84,-1,0.0
180,2025-06-07T05:50:24.170398,2,104348.83,-1,0.0
181,2025-06-07T05:50:24.171319,2,104347.53,-1,0.0
182,2025-06-07T05:50:24.172130,2,104347.53,-1,0.0
183,2025-06-07T05:50:24.172984,2,104344.73,-1,0.0
184,2025-06-07T05:50:24.174008,2,104344.74,-1,0.0
185,2025-06-07T05:50:24.174877,2,104344.73,-1,0.0
186,2025-06-07T05:50:24.175731,2,104344.73,-1,0.0
187,2025-06-07T05:50:24.176595,2,104348.85,-1,0.0
188,2025-06-07T05:50:24.177435,2,104319.0,-1,0.0
189,2025-06-07T05:50:24.178252,2,104292.55,-1,0.0
190,2025-06-07T05:50:24.179052,2,104317.98,-1,0.0
191,2025-06-07T05:50:24.179850,2,104342.15,-1,0.0
192,2025-06-07T05:50:24.180649,2,104333.2,-1,0.0
193,2025-06-07T05:50:24.181521,2,104333.2,-1,0.0
194,2025-06-07T05:50:24.182415,2,104333.2,-1,0.0
195,2025-06-07T05:50:24.183228,2,104333.2,-1,0.0
196,2025-06-07T05:50:24.184070,2,104329.59,-1,0.0
197,2025-06-07T05:50:24.184903,2,104368.01,-1,0.0
198,2025-06-07T05:50:24.185697,2,104351.84,-1,0.0
199,2025-06-07T05:50:24.186765,2,104362.58,-1,0.0
200,2025-06-07T05:50:24.187647,2,104352.1,-1,0.0
201,2025-06-07T05:50:24.188521,2,104339.21,-1,0.0
202,2025-06-07T05:50:24.189338,2,104320.48,-1,0.0
203,2025-06-07T05:50:24.190153,2,104302.33,-1,0.0
204,2025-06-07T05:50:24.190954,2,104302.33,-1,0.0
205,2025-06-07T05:50:24.191902,2,104302.33,-1,0.0
206,2025-06-07T05:50:24.192795,2,104291.99,-1,0.0
207,2025-06-07T05:50:24.193595,2,104290.66,-1,0.0
208,2025-06-07T05:50:24.194449,2,104288.44,-1,0.0
209,2025-06-07T05:50:24.195268,2,104310.92,-1,0.0
210,2025-06-07T05:50:24.196061,2,104271.55,-1,0.0
211,2025-06-07T05:50:24.196907,2,104255.82,-1,0.0
212,2025-06-07T05:50:24.197752,2,104245.12,-1,0.0
213,2025-06-07T05:50:24.198549,2,104266.71,-1,0.0
214,2025-06-07T05:50:24.199390,2,104288.17,-1,0.0
215,2025-06-07T05:50:24.200187,2,104263.48,-1,0.0
216,2025-06-07T05:50:24.201040,2,104257.1,-1,0.0
217,2025-06-07T05:50:24.201899,2,104257.1,-1,0.0
218,2025-06-07T05:50:24.202741,2,104241.25,-1,0.0
219,2025-06-07T05:50:24.203601,2,104244.61,-1,0.0
220,2025-06-07T05:50:24.204451,2,104211.5,-1,0.0
221,2025-06-07T05:50:24.205311,2,104180.87,-1,0.0
222,2025-06-07T05:50:24.206487,2,104100.87,-1,0.0
223,2025-06-07T05:50:24.207631,2,104087.57,-1,0.0
224,2025-06-07T05:50:24.208528,2,104038.06,-1,0.0
225,2025-06-07T05:50:24.209386,2,103906.39,-1,0.0
226,2025-06-07T05:50:24.210172,2,103911.32,-1,0.0
227,2025-06-07T05:50:24.211781,2,103976.24,-1,0.0
228,2025-06-07T05:50:24.212675,2,103979.64,-1,0.0
229,2025-06-07T05:50:24.213531,2,103971.97,-1,0.0
230,2025-06-07T05:50:24.214354,2,103990.34,-1,0.0
231,2025-06-07T05:50:24.215255,2,103995.18,-1,0.0
232,2025-06-07T05:50:24.216250,2,104044.07,-1,0.0
233,2025-06-07T05:50:24.217092,2,104102.38,-1,0.0
234,2025-06-07T05:50:24.217896,2,104162.79,-1,0.0
235,2025-06-07T05:50:24.218734,2,104170.58,-1,0.0
236,2025-06-07T05:50:24.219581,2,104167.5,-1,0.0
237,2025-06-07T05:50:24.220428,2,104191.91,-1,0.0
238,2025-06-07T05:50:24.221353,2,104181.41,-1,0.0
239,2025-06-07T05:50:24.222218,2,104199.81,-1,0.0
240,2025-06-07T05:50:24.223052,2,104211.27,-1,0.0
241,2025-06-07T05:50:24.223888,2,104207.55,-1,0.0
242,2025-06-07T05:50:24.224771,2,104246.33,-1,0.0
243,2025-06-07T05:50:24.225591,2,104218.17,-1,0.0
244,2025-06-07T05:50:24.226371,2,104242.97,-1,0.0
245,2025-06-07T05:50:24.227147,2,104275.81,-1,0.0
246,2025-06-07T05:50:24.227946,2,104268.59,-1,0.0
247,2025-06-07T05:50:24.228769,2,104278.74,-1,0.0
248,2025-06-07T05:50:24.229629,2,104242.15,-1,0.0
249,2025-06-07T05:50:24.230518,2,104248.38,-1,0.0
250,2025-06-07T05:50:24.231505,2,104275.64,-1,0.0
251,2025-06-07T05:50:24.232360,2,104356.69,-1,0.0
252,2025-06-07T05:50:24.233214,2,104348.23,-1,0.0
253,2025-06-07T05:50:24.234043,2,104337.29,-1,0.0
254,2025-06-07T05:50:24.234850,2,104285.79,-1,0.0
255,2025-06-07T05:50:24.235681,2,104307.97,-1,0.0
256,2025-06-07T05:50:24.236456,2,104354.27,-1,0.0
257,2025-06-07T05:50:24.237268,2,104358.68,-1,0.0
258,2025-06-07T05:50:24.238092,2,104351.54,-1,0.0
259,2025-06-07T05:50:24.238923,2,104365.15,-1,0.0
260,2025-06-07T05:50:24.239776,2,104384.53,-1,0.0
261,2025-06-07T05:50:24.240905,2,104377.84,-1,0.0
262,2025-06-07T05:50:24.241813,2,104390.47,-1,0.0
263,2025-06-07T05:50:24.242636,2,104389.06,-1,0.0
264,2025-06-07T05:50:24.243476,2,104432.21,-1,0.0
265,2025-06-07T05:50:24.244327,2,104468.52,-1,0.0
266,2025-06-07T05:50:24.245158,2,104484.58,-1,0.0
267,2025-06-07T05:50:24.245980,2,104484.58,-1,0.0
268,2025-06-07T05:50:24.246811,2,104511.69,-1,0.0
269,2025-06-07T05:50:24.247580,2,104488.34,-1,0.0
270,2025-06-07T05:50:24.248520,2,104488.36,-1,0.0
271,2025-06-07T05:50:24.249413,2,104559.9,-1,0.0
272,2025-06-07T05:50:24.250219,2,104469.9,-1,0.0
273,2025-06-07T05:50:24.251083,2,104388.17,-1,0.0
274,2025-06-07T05:50:24.251880,2,104439.76,-1,0.0
275,2025-06-07T05:50:24.252646,2,104471.8,-1,0.0
276,2025-06-07T05:50:24.253479,2,104426.07,-1,0.0
277,2025-06-07T05:50:24.254265,2,104426.08,-1,0.0
278,2025-06-07T05:50:24.255038,2,104426.07,-1,0.0
279,2025-06-07T05:50:24.255853,2,104426.07,-1,0.0
280,2025-06-07T05:50:24.256676,2,104447.1,-1,0.0
281,2025-06-07T05:50:24.257711,2,104488.38,-1,0.0
282,2025-06-07T05:50:24.258980,2,104518.97,-1,0.0
283,2025-06-07T05:50:24.259960,2,104501.48,-1,0.0
284,2025-06-07T05:50:24.260883,2,104470.61,-1,0.0
285,2025-06-07T05:50:24.261762,2,104392.76,-1,0.0
286,2025-06-07T05:50:24.262643,2,104392.74,-1,0.0
287,2025-06-07T05:50:24.263503,2,104488.37,-1,0.0
288,2025-06-07T05:50:24.264310,2,104511.47,-1,0.0
289,2025-06-07T05:50:24.265094,2,104465.12,-1,0.0
290,2025-06-07T05:50:24.265911,2,104460.0,-1,0.0
291,2025-06-07T05:50:24.266705,2,104464.21,-1,0.0
292,2025-06-07T05:50:24.267619,2,104458.05,-1,0.0
293,2025-06-07T05:50:24.268448,2,104480.4,-1,0.0
294,2025-06-07T05:50:24.269239,2,104483.91,-1,0.0
295,2025-06-07T05:50:24.270084,2,104483.9,-1,0.0
296,2025-06-07T05:50:24.270900,2,104441.86,-1,0.0
297,2025-06-07T05:50:24.271728,2,104428.18,-1,0.0
298,2025-06-07T05:50:24.272531,2,104444.61,-1,0.0
299,2025-06-07T05:50:24.273332,2,104456.58,-1,0.0
300,2025-06-07T05:50:24.274168,2,104405.02,-1,0.0
301,2025-06-07T05:50:24.274967,2,104395.34,-1,0.0
302,2025-06-07T05:50:24.275755,2,104395.34,-1,0.0
303,2025-06-07T05:50:24.276832,2,104369.43,-1,0.0
304,2025-06-07T05:50:24.277665,2,104348.83,-1,0.0
305,2025-06-07T05:50:24.278541,2,104381.5,-1,0.0
306,2025-06-07T05:50:24.279339,2,104383.26,-1,0.0
307,2025-06-07T05:50:24.280162,2,104408.04,-1,0.0
308,2025-06-07T05:50:24.280988,2,104396.5,-1,0.0
309,2025-06-07T05:50:24.281781,2,104418.36,-1,0.0
310,2025-06-07T05:50:24.282597,2,104410.24,-1,0.0
311,2025-06-07T05:50:24.283400,2,104440.83,-1,0.0
312,2025-06-07T05:50:24.284220,2,104430.42,-1,0.0
313,2025-06-07T05:50:24.285067,2,104423.5,-1,0.0
314,2025-06-07T05:50:24.285890,2,104432.95,-1,0.0
315,2025-06-07T05:50:24.286882,2,104452.92,-1,0.0
316,2025-06-07T05:50:24.287694,2,104500.0,-1,0.0
317,2025-06-07T05:50:24.288506,2,104475.63,-1,0.0
318,2025-06-07T05:50:24.289348,2,104454.85,-1,0.0
319,2025-06-07T05:50:24.290161,2,104458.6,-1,0.0
320,2025-06-07T05:50:24.290949,2,104479.75,-1,0.0
321,2025-06-07T05:50:24.291788,2,104488.37,-1,0.0
322,2025-06-07T05:50:24.292558,2,104488.38,-1,0.0
323,2025-06-07T05:50:24.293363,2,104457.32,-1,0.0
324,2025-06-07T05:50:24.294273,2,104470.51,-1,0.0
325,2025-06-07T05:50:24.295209,2,104481.94,-1,0.0
326,2025-06-07T05:50:24.296076,2,104479.57,-1,0.0
327,2025-06-07T05:50:24.296866,2,104460.0,-1,0.0
328,2025-06-07T05:50:24.297674,2,104453.56,-1,0.0
329,2025-06-07T05:50:24.298441,2,104447.46,-1,0.0
330,2025-06-07T05:50:24.299230,2,104396.94,-1,0.0
331,2025-06-07T05:50:24.300060,2,104395.34,-1,0.0
332,2025-06-07T05:50:24.300903,2,104405.47,-1,0.0
333,2025-06-07T05:50:24.301721,2,104405.47,-1,0.0
334,2025-06-07T05:50:24.302566,2,104372.1,-1,0.0
335,2025-06-07T05:50:24.303377,2,104372.1,-1,0.0
336,2025-06-07T05:50:24.304170,2,104372.1,-1,0.0
337,2025-06-07T05:50:24.305011,2,104372.09,-1,0.0
338,2025-06-07T05:50:24.305796,2,104372.1,-1,0.0
339,2025-06-07T05:50:24.306630,2,104372.1,-1,0.0
340,2025-06-07T05:50:24.307394,2,104357.83,-1,0.0
341,2025-06-07T05:50:24.308157,2,104357.83,-1,0.0
342,2025-06-07T05:50:24.308992,2,104379.47,-1,0.0
343,2025-06-07T05:50:24.309803,2,104365.22,-1,0.0
344,2025-06-07T05:50:24.310697,2,104389.96,-1,0.0
345,2025-06-07T05:50:24.311588,2,104400.0,-1,0.0
346,2025-06-07T05:50:24.312439,2,104392.16,-1,0.0
347,2025-06-07T05:50:24.313284,2,104404.62,-1,0.0
348,2025-06-07T05:50:24.314510,2,104368.02,-1,0.0
349,2025-06-07T05:50:24.315488,2,104348.96,-1,0.0
350,2025-06-07T05:50:24.316272,2,104360.03,-1,0.0
351,2025-06-07T05:50:24.317068,2,104348.95,-1,0.0
352,2025-06-07T05:50:24.317895,2,104348.95,-1,0.0
353,2025-06-07T05:50:24.318665,2,104348.84,-1,0.0
354,2025-06-07T05:50:24.319475,2,104362.19,-1,0.0
355,2025-06-07T05:50:24.320312,2,104362.18,-1,0.0
356,2025-06-07T05:50:24.321137,2,104374.59,-1,0.0
357,2025-06-07T05:50:24.321999,2,104389.64,-1,0.0
358,2025-06-07T05:50:24.322847,2,104387.96,-1,0.0
359,2025-06-07T05:50:24.323616,2,104376.87,-1,0.0
360,2025-06-07T05:50:24.324452,2,104382.6,-1,0.0
361,2025-06-07T05:50:24.325273,2,104369.05,-1,0.0
362,2025-06-07T05:50:24.326062,2,104382.53,-1,0.0
363,2025-06-07T05:50:24.326930,2,104396.74,-1,0.0
364,2025-06-07T05:50:24.327776,2,104396.73,-1,0.0
365,2025-06-07T05:50:24.328613,2,104477.12,-1,0.0
366,2025-06-07T05:50:24.329416,2,104477.94,-1,0.0
367,2025-06-07T05:50:24.330383,2,104506.18,-1,0.0
368,2025-06-07T05:50:24.331273,2,104490.23,-1,0.0
369,2025-06-07T05:50:24.332103,2,104468.85,-1,0.0
370,2025-06-07T05:50:24.333212,2,104463.58,-1,0.0
371,2025-06-07T05:50:24.334096,2,104486.4,-1,0.0
372,2025-06-07T05:50:24.335016,2,104508.04,-1,0.0
373,2025-06-07T05:50:24.335920,2,104478.88,-1,0.0
374,2025-06-07T05:50:24.337371,2,104478.88,-1,0.0
375,2025-06-07T05:50:24.338850,2,104497.49,-1,0.0
376,2025-06-07T05:50:24.339783,2,104500.0,-1,0.0
377,2025-06-07T05:50:24.340661,2,104496.24,-1,0.0
378,2025-06-07T05:50:24.342170,2,104482.58,-1,0.0
379,2025-06-07T05:50:24.342957,2,104475.95,-1,0.0
380,2025-06-07T05:50:24.343818,2,104480.71,-1,0.0
381,2025-06-07T05:50:24.344618,2,104484.62,-1,0.0
382,2025-06-07T05:50:24.345399,2,104484.61,-1,0.0
383,2025-06-07T05:50:24.346223,2,104591.93,-1,0.0
384,2025-06-07T05:50:24.347020,2,104563.27,-1,0.0
385,2025-06-07T05:50:24.347805,2,104599.91,-1,0.0
386,2025-06-07T05:50:24.348645,2,104574.94,-1,0.0
387,2025-06-07T05:50:24.349448,2,104564.51,-1,0.0
388,2025-06-07T05:50:24.350358,2,104531.57,-1,0.0
389,2025-06-07T05:50:24.351162,2,104489.42,-1,0.0
390,2025-06-07T05:50:24.351968,2,104488.38,-1,0.0
391,2025-06-07T05:50:24.352774,2,104517.24,-1,0.0
392,2025-06-07T05:50:24.353566,2,104594.13,-1,0.0
393,2025-06-07T05:50:24.354348,2,104637.14,-1,0.0
394,2025-06-07T05:50:24.355114,2,104649.54,-1,0.0
395,2025-06-07T05:50:24.355931,2,104661.0,-1,0.0
396,2025-06-07T05:50:24.356794,2,104688.27,-1,0.0
397,2025-06-07T05:50:24.357598,2,104693.17,-1,0.0
398,2025-06-07T05:50:24.358400,2,104628.29,-1,0.0
399,2025-06-07T05:50:24.359245,2,104684.16,-1,0.0
400,2025-06-07T05:50:24.360122,2,104688.64,-1,0.0
401,2025-06-07T05:50:24.360962,2,104760.85,-1,0.0
402,2025-06-07T05:50:24.361749,2,104751.25,-1,0.0
403,2025-06-07T05:50:24.362580,2,104746.05,-1,0.0
404,2025-06-07T05:50:24.363419,2,104746.06,-1,0.0
405,2025-06-07T05:50:24.364196,2,104770.92,-1,0.0
406,2025-06-07T05:50:24.364964,2,104732.79,-1,0.0
407,2025-06-07T05:50:24.365767,2,104680.8,-1,0.0
408,2025-06-07T05:50:24.366980,2,104671.05,-1,0.0
409,2025-06-07T05:50:24.367901,2,104652.22,-1,0.0
410,2025-06-07T05:50:24.368767,2,104665.15,-1,0.0
411,2025-06-07T05:50:24.369585,2,104680.0,-1,0.0
412,2025-06-07T05:50:24.370421,2,104718.85,-1,0.0
413,2025-06-07T05:50:24.371314,2,104794.43,-1,0.0
414,2025-06-07T05:50:24.372134,2,104777.84,-1,0.0
415,2025-06-07T05:50:24.372930,2,104773.2,-1,0.0
416,2025-06-07T05:50:24.373701,2,104735.4,-1,0.0
417,2025-06-07T05:50:24.374585,2,104737.89,-1,0.0
418,2025-06-07T05:50:24.375371,2,104708.09,-1,0.0
419,2025-06-07T05:50:24.376224,2,104689.75,-1,0.0
420,2025-06-07T05:50:24.377026,2,104680.5,-1,0.0
421,2025-06-07T05:50:24.377820,2,104687.24,-1,0.0
422,2025-06-07T05:50:24.378604,2,104697.42,-1,0.0
423,2025-06-07T05:50:24.379392,2,104697.42,-1,0.0
424,2025-06-07T05:50:24.380237,2,104697.41,-1,0.0
425,2025-06-07T05:50:24.381032,2,104708.1,-1,0.0
426,2025-06-07T05:50:24.381823,2,104712.59,-1,0.0
427,2025-06-07T05:50:24.382703,2,104717.83,-1,0.0
428,2025-06-07T05:50:24.383553,2,104744.18,-1,0.0
429,2025-06-07T05:50:24.384460,2,104804.39,-1,0.0
430,2025-06-07T05:50:24.385282,2,104846.52,-1,0.0
431,2025-06-07T05:50:24.386081,2,104818.87,-1,0.0
432,2025-06-07T05:50:24.386899,2,104828.55,-1,0.0
433,2025-06-07T05:50:24.387737,2,104814.64,-1,0.0
434,2025-06-07T05:50:24.388513,2,104844.42,-1,0.0
435,2025-06-07T05:50:24.389293,2,104831.29,-1,0.0
436,2025-06-07T05:50:24.390146,2,104866.17,-1,0.0
437,2025-06-07T05:50:24.390944,2,104889.62,-1,0.0
438,2025-06-07T05:50:24.391719,2,104872.61,-1,0.0
439,2025-06-07T05:50:24.392605,2,104871.58,-1,0.0
440,2025-06-07T05:50:24.393382,2,104859.85,-1,0.0
441,2025-06-07T05:50:24.394199,2,104870.71,-1,0.0
442,2025-06-07T05:50:24.394999,2,104870.7,-1,0.0
443,2025-06-07T05:50:24.395772,2,104848.76,-1,0.0
444,2025-06-07T05:50:24.396581,2,104865.0,-1,0.0
445,2025-06-07T05:50:24.397337,2,104865.0,-1,0.0
446,2025-06-07T05:50:24.398102,2,104872.73,-1,0.0
447,2025-06-07T05:50:24.398925,2,104866.65,-1,0.0
448,2025-06-07T05:50:24.399773,2,104871.58,-1,0.0
449,2025-06-07T05:50:24.400559,2,104854.92,-1,0.0
450,2025-06-07T05:50:24.401533,2,104854.92,-1,0.0
451,2025-06-07T05:50:24.402463,2,104854.92,-1,0.0
452,2025-06-07T05:50:24.403419,2,104845.47,-1,0.0
453,2025-06-07T05:50:24.404335,2,104838.11,-1,0.0
454,2025-06-07T05:50:24.405324,2,104824.91,-1,0.0
455,2025-06-07T05:50:24.406262,2,104841.71,-1,0.0
456,2025-06-07T05:50:24.407119,2,104841.71,-1,0.0
457,2025-06-07T05:50:24.407976,2,104866.38,-1,0.0
458,2025-06-07T05:50:24.408825,2,104821.88,-1,0.0
459,2025-06-07T05:50:24.409641,2,104793.16,-1,0.0
460,2025-06-07T05:50:24.410417,2,104731.4,-1,0.0
461,2025-06-07T05:50:24.411256,2,104731.4,-1,0.0
462,2025-06-07T05:50:24.412066,2,104722.01,-1,0.0
463,2025-06-07T05:50:24.412887,2,104709.88,-1,0.0
464,2025-06-07T05:50:24.413711,2,104709.86,-1,0.0
465,2025-06-07T05:50:24.414540,2,104706.63,-1,0.0
466,2025-06-07T05:50:24.415323,2,104727.01,-1,0.0
467,2025-06-07T05:50:24.416175,2,104727.02,-1,0.0
468,2025-06-07T05:50:24.416954,2,104716.22,-1,0.0
